sku_id,avg_actual_demand,avg_predicted_demand,demand_std,current_stock,selling_price,supplier_id,lead_time_days,avg_lead_time,lead_time_variability,safety_stock,reorder_point,inventory_status,annual_consumptino_value,annual_consumption_value,cumulative_value,cumulative_percentage,ABC_Class,cv,XYZ_Class,ABC_XYZ
38,34.04347826086956,34.13396112040134,7.1321266684014475,1055,1831.211806020067,1,11.0,11.0,4.0,308,727,Optimal,22814877.09531674,22814877.09531674,22814877.09531674,6.107329381052418,A,0.20950052793516385,X,AX
29,31.264214046822744,31.293950866220737,7.871903799624349,494,1702.4196989966556,5,5.0,5.0,2.0,128,304,Overstock,19445535.021141987,19445535.021141987,42260412.11645873,11.31271737717195,A,0.2517863966717672,Y,AY
24,23.277591973244142,23.43094221070234,5.488841599227644,776,2119.237224080268,2,10.0,10.0,2.0,322,593,Optimal,18124339.59879081,18124339.59879081,60384751.71524954,16.164433706013746,A,0.23579937330015316,X,AX
39,29.729096989966557,30.079778464882946,5.73727271228457,438,1638.9726421404682,7,5.0,5.0,4.0,173,341,Optimal,17994475.904740043,17994475.904740043,78379227.61998957,20.981386737604595,A,0.1929850985457404,X,AX
12,37.51839464882943,37.57050133444816,6.278398256125646,710,1206.8583946488293,8,7.0,7.0,4.0,352,641,Optimal,16549930.348224988,16549930.348224988,94929157.96821456,25.411648423775745,A,0.16734186829930187,X,AX
26,27.42809364548495,27.507712715719062,5.607163447242019,164,1620.7158193979933,3,3.0,3.0,4.0,56,148,Optimal,16272497.581144745,16272497.581144745,111201655.5493593,29.76764395095875,A,0.20443139504028335,X,AX
5,28.08026755852843,28.150327123745814,6.360552078787201,496,1545.2014046822742,8,7.0,7.0,4.0,277,497,Reorder,15876742.630065309,15876742.630065309,127078398.17942461,34.01769957628182,A,0.2265132291040225,X,AX
22,30.51170568561873,30.504149678929767,7.364140629774921,252,1176.4878595317723,0,3.0,3.0,2.0,125,227,Optimal,13099033.043349322,13099033.043349322,140177431.22277394,37.524188304439186,A,0.24135460356272076,X,AX
37,35.63879598662207,35.48027673913044,7.479499939892798,536,994.8179933110368,9,5.0,5.0,4.0,250,448,Optimal,12883192.46332583,12883192.46332583,153060623.68609977,40.9728985264712,A,0.20986960229241242,X,AX
14,26.892976588628763,27.03411291638796,6.728825912235224,555,1195.82508361204,6,6.0,6.0,4.0,180,365,Overstock,11799745.673595192,11799745.673595192,164860369.35969496,44.13158016828845,A,0.2502075547516891,Y,AY
