sku_id,avg_actual_demand,avg_predicted_demand,demand_std,current_stock,selling_price,supplier_id,lead_time_days,avg_lead_time,lead_time_variability,safety_stock,reorder_point,inventory_status
0,30.678929765886288,30.870992214046822,6.704495451071606,963,923.0016387959865,2,10.0,10.0,2.0,282,631,Overstock
1,32.15384615384615,32.13477416722408,8.103550277734362,581,386.00163879598665,6,6.0,6.0,4.0,213,428,Optimal
2,25.94648829431438,26.043582538461536,7.373802669888843,395,223.63040133779265,5,5.0,5.0,2.0,108,259,Overstock
3,28.989966555183948,29.032281511705687,7.178213191996332,375,476.53197324414714,5,5.0,5.0,2.0,113,274,Optimal
4,34.74916387959866,34.887730618729094,7.069213736732228,339,578.5029765886288,7,5.0,5.0,4.0,160,353,Reorder
5,28.08026755852843,28.150327123745818,6.360552078787201,496,1545.2014046822742,8,7.0,7.0,4.0,277,497,Reorder
6,33.35117056856188,33.42636461204013,6.6529821466740025,715,813.0385284280936,2,10.0,10.0,2.0,478,852,Reorder
7,26.795986622073578,26.85669053846154,6.77206936143318,375,415.08334448160537,5,5.0,5.0,2.0,168,318,Optimal
8,24.110367892976587,24.265325055183947,6.99265143027124,312,485.9553511705685,7,5.0,5.0,4.0,81,215,Optimal
9,30.665551839464882,30.737993515050167,5.962003622478883,237,1029.7798662207358,0,3.0,3.0,2.0,94,197,Optimal
10,23.51170568561873,23.52585740133779,6.173310444645911,677,250.683745819398,2,10.0,10.0,2.0,175,443,Overstock
11,25.08026755852843,25.154587240802677,6.07450210034521,727,954.085652173913,4,13.0,13.0,2.0,433,810,Reorder
12,37.51839464882943,37.57050133444816,6.278398256125646,710,1206.8583946488293,8,7.0,7.0,4.0,352,641,Optimal
13,27.357859531772576,27.39955959197324,5.830580407321616,1143,1145.2284280936453,4,13.0,13.0,2.0,322,722,Overstock
14,26.892976588628763,27.03411291638796,6.728825912235224,555,1195.82508361204,6,6.0,6.0,4.0,180,365,Overstock
15,29.51505016722408,29.689137244147155,7.636164897585198,347,243.96280936454852,5,5.0,5.0,2.0,192,357,Reorder
16,27.401337792642142,27.462403919732438,5.784102102356049,1166,646.3042809364549,4,13.0,13.0,2.0,370,774,Overstock
17,37.46153846153846,37.387933882943145,6.336828460723067,252,804.7138461538461,3,3.0,3.0,4.0,114,237,Optimal
18,30.043478260869566,30.205801474916388,7.395907353342375,917,196.37133779264212,4,13.0,13.0,2.0,354,809,Optimal
19,31.180602006688964,31.245354585284282,5.367765926879432,230,781.3839130434783,3,3.0,3.0,4.0,121,223,Optimal
20,29.4247491638796,29.345571257525087,7.099261908933577,350,543.5996321070235,7,5.0,5.0,4.0,134,301,Optimal
21,27.240802675585286,27.29407221070234,5.746508191983171,1138,540.0921404682274,4,13.0,13.0,2.0,255,653,Overstock
22,30.51170568561873,30.504149678929767,7.364140629774921,252,1176.4878595317725,0,3.0,3.0,2.0,125,227,Optimal
23,34.33444816053512,34.362447719063546,6.123054459931213,1139,561.6612374581939,1,11.0,11.0,4.0,259,679,Overstock
24,23.277591973244146,23.43094221070234,5.488841599227644,776,2119.237224080268,2,10.0,10.0,2.0,322,593,Optimal
25,26.16722408026756,26.23550422742475,6.435440566779068,790,321.69518394648827,2,10.0,10.0,2.0,198,488,Overstock
26,27.42809364548495,27.507712715719066,5.607163447242019,164,1620.7158193979933,3,3.0,3.0,4.0,56,148,Optimal
27,29.759197324414714,29.836825591973245,5.459018216718335,695,1022.9177257525084,2,10.0,10.0,2.0,399,727,Reorder
28,23.207357859531772,23.391476219063545,6.1625475787289,406,1242.1187959866222,6,6.0,6.0,4.0,122,284,Optimal
29,31.264214046822744,31.293950866220737,7.871903799624349,494,1702.4196989966556,5,5.0,5.0,2.0,128,304,Overstock
30,27.02675585284281,27.046293000000002,6.873689247392721,534,898.0917725752508,6,6.0,6.0,4.0,203,384,Optimal
31,33.64882943143812,33.68916857859532,6.262739255915679,391,596.5747491638796,7,5.0,5.0,4.0,218,403,Reorder
32,27.588628762541806,27.638947153846154,6.84399539345351,860,649.5446488294315,2,10.0,10.0,2.0,387,705,Optimal
33,37.709030100334445,37.31219828428094,5.881858589386,1102,758.5613712374582,1,11.0,11.0,4.0,309,769,Optimal
34,29.82274247491639,29.972159849498325,8.193057576606705,1119,908.6450501672241,4,13.0,13.0,2.0,432,874,Optimal
35,26.93645484949833,26.8302001638796,7.272683247462453,202,508.6647491638796,3,3.0,3.0,4.0,70,159,Optimal
36,30.40468227424749,30.38360069230769,6.649426842337428,502,429.488093645485,9,5.0,5.0,4.0,209,377,Optimal
37,35.63879598662207,35.48027673913044,7.479499939892798,536,994.8179933110368,9,5.0,5.0,4.0,250,448,Optimal
38,34.04347826086956,34.13396112040134,7.1321266684014475,1055,1831.2118060200667,1,11.0,11.0,4.0,308,727,Optimal
39,29.729096989966557,30.079778464882946,5.73727271228457,438,1638.9726421404682,7,5.0,5.0,4.0,173,341,Optimal
